text,category
"Milburn defends poster campaign
 
 Labour's election chief Alan Milburn has defended his party's campaign posters amid Tory claims the ads were nothing short of ""sly anti-Semitism"".
 
 Mr Milburn said he appreciated people's concerns, but insisted that ""what they were was anti-Tory"" and ""not in any way, shape or form anti-Semitic"". He was responding to Tory spokesman Julian Lewis who said the ads were part of a wider trend of smearing the party. Labour has withdrawn two controversial posters and launched four new designs.
 
 A row was sparked after the party published posters appearing to depict Michael Howard, who is Jewish, as Fagin, and as a flying pig, amid claims they were anti-Semitic. The posters were labelled a ""big misjudgement"" by the Conservatives who said Labour's ""first shot in the election has badly backfired"".
 
 The posters were among a series of ideas shown to Labour members, who were asked to vote on their favourite. Labour has taken them off its website, saying members preferred other posters. The party's four new designs, launched on Tuesday, steer clear of the Fagin or flying pig images, but make clear that Labour is sticking to its strategy of targeting the Tory leader personally, with reminders of his record in office.
 
 The posters were among a series of ideas shown to Labour members, who have been asked to choose which one should be used ahead of the election. In the Commons, Tory spokesman Mr Lewis suggested the posters were part of a wider trend and reminded MPs that Labour chairman Ian McCartney last year described shadow chancellor Oliver Letwin as a ""21st Century Fagin"".
 
 ""Given the outrage that that smear caused then, how could you have thought anything other than the fact that what you were doing in reviving it in your poster advertisements was nothing more and nothing less than a calculated campaign of sly anti-Semitism?"" Mr Milburn replied that they were not anti-Semitic. ""What they were was anti-Tory and I make no apologies at all for making clear to the British public exactly what the Conservative plans would mean,"" he said. ""I fully understand and indeed respect the views of those who have concerns about any poster designs that have appeared on the Labour Party website."" The Fagin and pigs might fly posters were taken off Labour's website on Monday after supporters voted for their favourite poster featuring Mr Howard and shadow chancellor Oliver Letwin holding a blackboard reading 2+2=5. A Labour spokesman later said their removal from the party's website was not affected by the row.
",politics
"'Debate needed' on donations cap
 
 A cap on donations to political parties should not be introduced yet, the elections watchdog has said.
 
 Fears that big donors can buy political favours have sparked calls for a limit. In a new report, the Electoral Commission says it is worth debating a £10,000 cap for the future but now is not the right time to introduce it. It also says there should be more state funding for political parties and candidates should be able to spend more on election campaigning.
 
 There were almost £68m in reported donations to political parties in 2001, 2002 and 2003, with nearly £12m of them from individual gifts worth more than £1m. The rules have already been changed so the public can see who gives how much to the parties but the report says there are still public suspicions. The commission says capping donations would mean taxpayers giving parties more cash - something which would first have to be acceptable to the public and shown to work. ""While we are not in principle opposed to the introduction of a donation cap, we do not believe that such a major departure from the existing system now would be sensible,"" says its report. If there was to be a cap, it should be £10,000 - a small enough amount to make a difference but which would have banned £56m in donations between 2001 and 2003.
 
 Even without changes the commission does urge political parties to seek out more small-scale donations and suggests there should be income tax relief for gifts under £200. It also suggests increasing state funding for parties to £3m so help can be extended to all parties with at least two members in the House of Commons, European Parliament, Scottish Parliament, Welsh Assembly or Northern Ireland Assembly. And it suggests new ways of boosting election campaigning, seen as a way of improving voter turnout. All local election candidates should be entitled to a free mailshot for campaign leaflets, says the watchdog. And there should be a shift in the amount of money allowed to be spent at elections from a national level to a local level to help politicians engage better with voters.
 
 The report suggests doubling the money which can be spent by candidates, while cutting national spending limits from £20m to £15m. The commission also says the spending limits for general elections should cover the four months before the poll - as happens with other elections. Electoral Commission chairman Sam Younger said: ""There is no doubt that political parties have a vital role to play in maintaining the health of our democracy and for this they need to be adequately resourced. ""Our research has shown that people want to be more informed about party politics and that they want politicians to be more visible and accessible. ""The public are reluctant for the state to fund parties but at the same time are unhappy with large private donations."" He called for a wider public debate on party funding to find the consensus needed for radical changes to the current system.
",politics
"UK plan to deport terror suspects
 
 Deals are being sought to allow the UK to deport terror suspects to their home countries without risk of them being tortured or sentenced to death.
 
 Home Secretary Charles Clarke told the Times he hoped agreement with several countries could be reached. The move follows a Law Lords judgement that the detention of 12 men at Belmarsh prison, London, and Woodhill, Milton Keynes, was unlawful. The 12 affected by the ruling are from Algeria, Tunisia, Egypt and Jordan. The government was told that using anti-terror legislation brought in after 11 September to hold the men indefinitely without charge broke human rights laws.
 
 Mr Clarke told The Times: ""I think we should be prosecuting much more energetically our ability to deport the individuals concerned to the countries from which they come."" He said it was a route that was being pursued in collaboration with Foreign Secretary Jack Straw ""in a very positive way"". Mr Clarke said that he was seeking ""memorandums of understanding"" between overseas governments and Britain to ensure suspects would not be subjected to the death penalty on their return. However, he added: ""I do not think the solution to the Law Lords' judgement for this government is in deportations, but they will help. ""There are other strands that we have to do."" But the Liberal Democrat's shadow home secretary, Mark Oaten, accused Mr Clarke of avoiding the main issue with the Belmarsh detainees.
 
 ""The critical issue that the home secretary is dodging at this stage is to deal with the very principle, to deal with how we tackle this problem in the future,"" he told BBC News. ""And I do want him to grasp those issues and that means looking at how we can actually secure convictions in this country allowing, for example, intercept communications, telephone tapping to be included,"" Mr Oaten said. ""Deportation may tackle this initial problem but I want to see a wider debate urgently about how we can actually get trials and convictions in this country."" ""Unless we get that, the Liberal Democrats will vote against this measure when it comes for renewal in March.""
 
 The BBC's home affairs correspondent, Daniel Sandford, said it appeared Mr Clarke was putting more emphasis on the possibility of deportation than his predecessor, David Blunkett. But he said reaching an understanding with some of the detainees' home countries could be difficult. ""Some of these people are accused of very, very serious crimes in their home countries so it's not an easy agreement to get and I think for some of these suspects it won't be the solution."" Daniel Sandford said ministers may try to put forward other solutions - such as allowing more secret evidence to be put into normal criminal trials or developing a more secret trials process - in the next few weeks. ""The government may try and deport some of them and then those that are left see if they can work out some way of putting them on trial,"" he said.
",politics
"Howard rebuts asylum criticisms
 
 Tory leader Michael Howard has gone on the offensive in response to people questioning how a son of immigrants can propose asylum quotas.
 
 Mr Howard, whose parents fled the Nazi threat to come to the UK, says the claim would mean no-one from an immigrant family could become premier. His comments come in a BBC documentary called 'No More Mr Nasty'. TV presenter Anne Robinson said as home secretary he gave the impression he would ""like to kick your cat"". Ms Robinson, a friend of the Tory leader, also revealed that as a Cambridge student Mr Howard was ""much loved by women and he was a courteous and kind and rather dashing lover"" - although she denied having personal experience. ""I wasn't at Cambridge - and it's not personal experience - but I know people who were.""
 
 Documentary maker Michael Cockerell was given behind-the-scenes access to Mr Howard for his film portrait. The Tory leader was asked about to respond to people who said that if there had there been a quota on immigration and asylum in the 1930s, his parents might not have been allowed into the country.
 
 He replies: ""What is the inference of that? ""That if you reach the view that you need to control immigration in the interests of the country you're not allowed to put a view forward if you happen to be descended from immigrants? ""That seems to me an absolutely extraordinary proposition? It would certainly mean no one from immigrant parents could be prime minister.""
 
 Ms Robinson, who presents The Weakest Link tells Cockerell that she despaired at his hardline image when he was home secretary in John Major's government. ""I used to have to sit on my hands because he'd get on television and give a passable impression of someone who'd like to kick your cat or would put your baby in prison if he cried. I mean it was very, very Draconian."" The film shows Mr Howard laughing at Rory Bremner's impression of him as Dracula, which he calls ""good fun"", apart from the serious falsehood of a comment suggesting he wants fewer black people in the UK. The film shows the private side of the Tory leader watching television at home or playing table tennis with his wife, ex-model Sandra. Asked if she enjoys a game of ping pong she confesses: ""Yeah, it would be more enjoyable if I could win occasionally too, but otherwise it's quite fun.""
 
 Former Downing Street communications chief Alastair Campbell, now working on Labour's election campaign, says a ""touchy-feely"" image does not fit Mr Howard. He says Tony Blair was not worried by his opponents' early performance in their Commons clashes because Mr Howard lacked a ""big strategy"", including on issues like Iraq. The Tory leader brands such criticisms as ""absolutely rubbish"", arguing that he has been consistent on his support for the war but critical of Mr Blair's failure to tell the truth on intelligence. Former Tory chancellor Ken Clarke says Mr Howard has a bigger problem changing perceptions of the Tory party than his personal image. Mr Clarke says the party is improving and it is ""conceivable"" it could win the next election. But he adds: ""It has got to change itself a bit and broaden its appeal.""
 
 - Michael Howard: No More Mr Nasty is being shown on BBC2 on Saturday 12 February at 2005 GMT.
",politics
"UKIP MEP attacked German 'empire'
 
 A UK Independence Party MEP suggested Germany saw the EU as an 'empire' and was cheaper than using tanks, a new documentary has revealed. Mike Nattrass, UKIP's deputy leader, made the comments to an audience at a meeting during last September's Hartlepool by-election campaign. But challenged on the remark, he denied accusing Germany of using the EU as cover for a ""4th German Reich"". He says he was not ""German-bashing"" but saying peace was the EU's founding aim. The meeting was shown in a BBC 3 film on ex-UKIP MEP Robert Kilroy-Silk. The former chat show host quit the party earlier this month, calling it a joke.
 
 The documentary showed Mr Nattrass, apparently talking about the EU, telling the meeting: ""The Germans are the big losers here but they don't care because to them the project is worthwhile. ""It's like an empire for them spreading in all directions away from Germany into Hungary, into what they call the Sudetenland - Czechoslovakia, places like that. ""So it's cheaper for them to do it this way than roll the tanks in."" On Tuesday, he told the BBC News website he did not think the comments were offensive and worked happily with MEPs of different nationalities in the European Parliament. He argued that peace was the only reason for having the ""outdated"" EU as there was no economic justification. Pointing to Germany's trade interests as a country in the centre of Europe, Mr Nattrass said: ""The fact is that the EU benefits Germany but it does not benefit Britain. ""I'm not at all German-bashing. It's the truth."" A UKIP spokesman said: ""Mike has some passionate beliefs and sometimes uses excessively colourful language with which to express them.""
 
 The documentary showed some of the tensions between Mr Kilroy-Silk and his fellow MEPs after UKIP took third place in last year's European elections. He denied wanting to be leader until October 2004, when he told BBC One's Breakfast with Frost programme he aspired to the job. Asked by the documentary makers why he had lied about his leadership ambitions, Mr Kilroy-Silk said: ""There was one thing I said that I shouldn't have said at the time. ""I was trying to be helpful to the party and it was the wrong thing to do, I should have told the truth."" The film also included footage of a row between Mr Kilroy-Silk, MEP Nigel Farage and party leader Roger Knapman about rumours that he was about to resign the UKIP whip in the European Parliament. Mr Kilroy-Silk told them he had not left the UKIP group - a move he announced shortly after the meeting. He told Mr Farage: ""Don't tell lies Nigel, now you've told too many. Most of the trouble had been caused by you."" UKIP officials claim it was in fact Mr Kilroy-Silk, not Mr Farage, who briefed newspapers he was leaving the group of MEPs.
 
 Later in unguarded, off-air comments in a television studio, Mr Kilroy-Silk was heard saying he was irritated by ""defending some of these right-wing fascist nutters"". Mr Kilroy-Silk separately said he had argued against UKIP working with such groups which believed homosexuality was a sin. A UKIP spokesman said there were more than 40 MEPs in the same group in the European Parliament. They were from a broad spectrum - some right-wing, some left-wing - but with a shared belief in the ""unfeasibility of the EU as it is now"". He did not defend other groups' religious beliefs but argued it was their right to hold such views - just as Mr Kilroy-Silk had a right to criticise Arab states. London UKIP MEP Gerard Batten said: ""Robert has made a variety of comments about UKIP and its MEPs. ""There are of course two sides to every story. What Robert does not say is that he was offered several positions which would have given him effective control of the party, but not the title of leader."" Mr Kilroy-Silk is to launch his own parry, Veritas, in Westminster on Wednesday.
",politics
"New drink limit 'would cut toll'
 
 More lives than previously thought could be saved by cutting drink-drive limits by a third, a report says.
 
 University College London research claims cutting the limit from 80mg of alcohol per 100ml of blood to 50mg would save 65 lives a year. The findings are being published by the Parliamentary Advisory Council for Transport Safety as MPs are due to vote on the government's Road Safety Bill. The bill includes changes to speeding fines but not to the drink-drive limit. The research, carried out by transport expert professor Richard Allsop, says cutting the limit would also lead to 230 fewer serious injuries on the UK's roads compared with 2003. He estimates that this would save the country £119m a year.
 
 A previous estimate, contained in a 1998 Department of Transport Document, suggested such a move could save 50 lives a year. The findings are based on the assumption that drivers who currently keep below the legal limit would continue to do so were it to be lowered and that those who tend to exceed the limit slightly would also lower their drinking. Professor Allsop said: ""Reducing the limit from 80mg to 50mg can be expected to save around 65 lives a year or around half of those who die in accidents where the driver's BAC [blood alcohol content] is within 30mg of the current limit. ""Only about one in 50 of those driving during weekend evenings and nights will need to moderate their drinking to achieve this and fewer still at other times.""
 
 Ministers do not support a lower limit, saying it is not clear it would have a major impact on drink drive casualties. They believe educating drivers is more important. The AA Motoring Trust said it was not sure what affect dropping the limit would have on drivers' attitudes to drink-driving. Road safety head Andrew Howard said: ""It remains to be seen whether the social disapproval of the drinking driver will stay at the current rate if the alcohol limit is cut.
 
 ""Parliamentarians need to consider this carefully. Britons police themselves by consensus much more effectively than they do by weight of enforcement alone."" Liberal Democrat transport spokesman John Thurso said drink-driving remained a ""major killer"", with figures showing a worrying rise in the number of accidents involving drivers who had been drinking. He said there had been a 29% drop in the number of drivers being breathalysed since 1997, which he said the government needed to address if it wanted to reduce the danger caused by drink-driving. The Road Safety Bill, which gets its second reading on Tuesday, would allow the results of roadside breath tests to be used in court - currently a blood test is needed. It also includes plans for a staggered speeding fines and points system, penalising drivers who exceed limits by a wide margin more than those who are caught going just over. These have been criticised by road safety campaigners, including Labour backbencher Gwyneth Dunwoody, who says it will reduce the incentive for drivers to stay within the limits in residential areas, leading to more road casualties. In an article for the Times newspaper, Ms Dunwoody, who chairs the Transport Select Committee, says: ""Slight increases to low car speeds increase hugely the risks to pedestrians and cyclists. ""It is quite simple: if you hit someone at 30mph, they have a 50 per cent chance of survival. If you are going at 40mph, nine times out of ten they will die.""
",politics
"Campaign 'cold calls' questioned
 
 Labour and the Conservatives are still telephoning the millions of people who have signed up to make sure they do not get marketing ""cold calls"".
 
 The parties say they can stick to the rules by ensuring that their calls are not marketing - for instance by asking about people's voting intentions. The Lib Dems are asking the watchdog overseeing the rules to stop the calls. The information commissioner's office says surveys are allowed but there is a ""grey"" area if personal data is kept. Telephone call centres are expected to be used as never before by all the three major parties in the run-up to the general election.
 
 But seven million telephone numbers are on the Telephone Preference Service (TPS) lists, which ban unsolicited sales and marketing calls. Both schemes are run by the Direct Marketing Association and backed by EU directives on privacy and electronic communications.
 
 The rules on marketing calls apply as much to politicians as to private sector companies. But that does not mean Labour and the Tories are not calling people signed up to the TPS. A Labour Party spokesman told the BBC News website the party avoided those on TPS lists when telephoning people about membership or fundraising. But that did not happen for ""voter identification"" calls. ""When we ask which party they will vote for, that is not marketing and we have very clear legal advice that it is not,"" he said. ""So it is not covered by the Telephone Preference Service.""
 
 He said the party always asked people if they would be happy to be contacted again and if they said no, they were not rung again. A Conservative spokeswoman said the party stuck to the rules when it rang TPS subscribers. She said: ""We do apply TPS but in line with the law. We would not do things that are not allowed in the law."" A spokesman for the Information Commissioner's Office said it would be classed as marketing if political parties telephoned people to encourage them to vote for them. But the rules did allow polling organisations to telephone people about their voting intentions if they recorded them only as part of a bigger set of statistics, not person by person. ""If a political party was doing that than it may be that also would not be marketing,"" he said.
 
 The spokesman said it might be considered unsolicited marketing if a party recorded voting preferences with a view to marketing information in the future. The spokesman said there was ""no yes or no"" answer and the area was ""pretty grey"". He added: ""If someone complained, then we would investigate that. Political parties are aware of the regulations. At the last by-elections, we reminded them."" Lib Dem chairman Matthew Taylor has now written to the watchdog saying: ""The advice we have received on several previous occasions is that such phone calls are illegal."" He says evidence from local Lib Dem parties around the country suggests there are ""significant"" numbers of such calls. ""I hope you can therefore take swift and efficient action to ensure that this ceases,"" he tells the commissioner. Mr Taylor argues there should be new guidelines so all parties can act in the same way if the watchdog believes the rules allow parties to ring TPS numbers about voting intentions and later urge those people to vote for them.
",politics
"Schools to take part in mock poll
 
 Record numbers of schools across the UK are to take part in a mock general election backed by the government.
 
 Some 600 schools have already signed up for the Y Vote Mock Elections 2005 run by the Hansard Society and aimed at boosting interest in politics. Pupils in the schools taking part will learn the skills of speech writers, canvassers and political candidates. Schools Minister Stephen Twigg said engaging young people's interest was ""essential"" to the future of democracy.
 
 He added: said ""Young people who are engaged and motivated by the political process are essential to the future health of our democracy. ""The mock elections initiative provides an opportunity for pupils to develop their own understanding of how the democratic process works and why it matters. ""By experiencing the election process first hand - from running a campaign to the declaration of the final result - we hope that young people will develop the enthusiasm to take part in the future."" The Hansard Society, the Electoral Commission and the Department for Education and Skills are running the programme. Pupils will stand as party candidates, speech writers and canvassers. Michael Raftery, project manager at the Hansard Society, said: ""The Y Vote Mock Elections for schools mirror the excitement and buzz of a real election, raising awareness of citizenship, and the benefits of active democracy."" The mock votes will take place around 5 May, widely expected to be the date of the general election. Information packs, including ballot papers and manifesto guides, with elections happening in early May were sent out to the 3,000 schools invited to take part.
",politics
"Defection timed to hit tax pledge
 
 With impeccable and precisely-calculated timing, Tory defector Robert Jackson and his new Labour bosses have attempted to overshadow Michael Howard's latest announcement on taxation and spending.
 
 With just about everyone in Westminster now working towards a May general election, Mr Howard is eager to map out some clear and distinctive policies aimed at finally shifting the Tories' resolutely depressing poll showings. The big idea is his £35bn savings on waste and bureaucracy which Mr Howard has pledged to plough back into public services and tax cuts. And it was virtually certain his pledge on tax cuts was meant to be the core message from his interview on the BBC One's Breakfast with Frost programme. He and his shadow Chancellor Oliver Letwin have been edging towards an announcement on this front for some months now, but without any concrete pledges. But Mr Howard announced that, of the £35bn he has earmarked from savings, £12bn will be used to plug Labour's claimed financial black hole with any left over going to tax cuts in Mr Letwin's first budget. He would not be precise, but there are already suggestions he is set to announce lifting the threshold on income tax and reforming or abolishing inheritance tax. But he did, for the first time, say there would be such tax cuts.
 
 ""At this election, people will have a clear choice between Mr Blair who will waste more and tax more and the Conservative party which will give value for money and tax less"". It is the Tories' attempt to open that famed ""clear blue water"" between them and the Labour party and return to a traditional Tory agenda that will both reassure the middle England voters who have abandoned him and appeal to core Conservative voters. So it is a pretty safe bet to assume that, when Robert Jackson finally decided to jump ship and swim over to the Labour benches, his new masters decided to time the announcement for the greatest possible impact. Mr Howard, however, was dismissive. ""These things happen from time to time. There are disagreements between Robert Jackson and me.
 
 ""The election is not going to be decided on what Robert Jackson did,"" he added. And that is certainly true. The election will be decided on ""the economy stupid"". Other issues like the Iraq war and the ""trust"" thing will also play a major part. But it is the economy that will probably be the greatest influence over the way people finally vote. And many on the Tory benches have been crying out for Mr Howard to get back onto the old Tory tax cuts agenda. Mr Howard knows that risks accusations that, as a result, he would slash public services, so he has attempted to shoot that fox first. With polls suggesting voters would rather any government cash surpluses were spent on schools and hospitals before tax cuts, he has suggested that is exactly what he will do. Whether this will finally be enough to shift those polls remains to be seen.
",politics
"Blair says mayor should apologise
 
 Tony Blair has urged London mayor Ken Livingstone to apologise for his ""Nazi"" comment to a Jewish reporter.
 
 Labour's Mr Livingstone, who says he is ""standing by"" his remarks, had accused an Evening Standard journalist of being like a ""concentration camp guard"". Mr Blair told Five's Wright Stuff show: ""Let's just apologise and move on."" Mr Livingstone has said the remarks may have been offensive but were not racist, and said he would not apologise even if the prime minister asked.
 
 Mr Blair, who was instrumental in returning Mr Livingstone to the Labour Party, insisted on Wednesday it was time for the London mayor to say sorry.
 
 ""A lot of us in politics get angry with journalists from time to time, but in the circumstances, and to the journalist because he was a Jewish journalist, yes, he should apologise,"" he said. ""Let's just apologise and move on - that's the sensible thing."" Tory leader Michael Howard, asked about Mr Livingstone's remark by reporters, said it was important for politicians to be mindful about the language they use. ""It's particularly important that as we get close to the election that politicians talk with civility and courtesy about issues that we all face,"" he said. ""I think it's a matter of sadness that we are not seeing that from the Labour Party. We had what Ken Livingstone said, we had what Alastair Campbell has said and we have what others have said. I think that's a matter of great regret.""
 
 The row blew up after Mr Livingstone was approached by Evening Standard reporter Oliver Finegold following a party marking the 20th anniversary of former Culture Secretary Chris Smith coming out as Britain's first gay MP. On tape, Mr Livingstone, who once worked as a freelance restaurant critic on the paper, is heard asking Mr Finegold if he is a ""German war criminal"".
 
 Mr Finegold replies: ""No, I'm Jewish, I wasn't a German war criminal. I'm quite offended by that."" The mayor then says: ""Ah right, well you might be, but actually you are like a concentration camp guard, you are just doing it because you are paid to, aren't you?"" At his weekly press conference on Tuesday, Mr Livingstone said his comments were not racist and refused to apologise. ""If you think they are racist, I think you are wrong,"" he told reporters. The dispute comes as an inspection team from the International Olympic committee began a four-day tour to assess London's bid for the 2012 Games. An official complaint has been made to local government watchdogs by the British Jews, demanding an investigation by the Standards Board of England. It has the power to suspend or bar Mr Livingstone from public office.
",politics
